N1 signature	N2 signature	Early Neutrotime	Late Neutrotime	Arthritis	IL1_peritoneum	IL1_lung
					Rab20	Litaf
					Clec12a	Spata13
					Traf1	Snx10
					Tgfb1	Larp4b
					Hspa5	Nlrp3
					Snai1	Sla
					Pfkfb3	Dennd4a
					Zeb2	Junb
					Eif1	Klf7
					Snx10	Tax1bp1
					Snx18	Clec12a
					Slc9a3r1	Jdp2
					C5ar1	Plscr1
					Klf2	N4bp1
					Fcgr2b	Dgat2
					Larp4b	Ifitm2
					Jak2	Bcl2l1
					Zfp36l1	Irf2bp2
					Clec5a	C3
					Gm20186	Cd177
					Relb	Cd274
					Cux1	Wfdc21
					Ifitm3	Irak2
					Tax1bp1	Smox
					Olr1	Ptprj
					Il10ra	Slc2a1
					Actg1	Egln3
					Nab1	Fcgr3
					Hcar2	Arg2
					Tmed5	Slfn4
					Zfp263	Apobec3
					Cyfip1	Slc9a3r1
					Zfp281	Rbm47
					Ctsz	Gpr84
					Slc15a3	Prdx6
					Nr4a3	Glrx
					Cyth4	Dusp1
					Sqstm1	Lcp2
					Il10rb	H3f3b
					Snx20	Nabp1
					Bcl2l11	Zfp281
					Ninj1	
					Sf3b6	
					Cd44	
					Prkd3	
					Cd53	
					Il4ra	
					Sema4d	
					Aff1	
					Nadk	
					Eif5a	
					Ptgs2	
					Rab44	
					Dennd4a	
					Klf7	
					Fosl2	
					Isg15	
					Pde4b	
					Plaur	
					Cybb	
					Spag9	
					Runx1	
					Kdm6b	
					Ncf4	
