collagen_features	elastin_features	contraction_features	adipogenesis_features	early_wFB_features	late_wFB_features	
		Tbxa2r		Sdc1	Id4	
		Tifab		Dynlt1f	Stc1	
		Tnni3		Dynlt1b	H2-DMb1	
		Tpcn2		Angptl4	Tcea3	
		Trpv1		Anp32b	Efna1	
		Zdhhc21		Plk2	Ear2	
				Hk2	Plac9a	
				F3	H2-M9	
				Rgs16	Pcbd1	
				Emilin1	Vegfc	
				Hif1a	Chchd10	
				Mafb	Lefty1	
				Rian	Pik3ip1	
				Cd3e	Ino80c	))
				Plod2		
				Lsp1		
				Glipr2		
				Srpx2		
				Qsox1		
				Rbm3		
				Mrps16		
				Akr1b8		
				Krt6b		
				Dcakd		
				Wisp1		
				Ifit1		
				Phf5a		
				Snrpd1		
				Emb		
				Ak2		
				Adam12		
				Snrpe		
				Plod3		
				Abracl		
				Trappc1		
				Grb10		
				Peg10		
				Mlec		
				Egr2		
				Gsto1		
				Uqcrq		
				Ddit4		
				Tubb2b		
				Enc1		
				Ppa1		
				Arc		
				Pcsk5		
				Plagl1		
				H2afx		
				Ube2l6		
				Rnd1		
				Gpc1		
				2700094K13Rik		
				Pdlim7		
				S1pr3		
				Loxl3		
				Sdc3		
				Tsc22d1		
				Dram1		
				Man2a1		
				Mrpl34		
				Klhl21		
				Cyp7b1		
				Glrx		
				Serpina3g		
				Gm4735		
				Nxn		
				Tcirg1		
				Actn1		
				Glipr1		
				Uck2		
				Spsb1		
				Ttyh2		
				B4galt5		
				Hn1l		
				BC100530		
				Palld		
				Eny2		
				Tspan6		
				Egr3		
				Hmg20b		
				Gbp3		
				Tmem98		
				Kctd5		
				Ripk3		
				Epas1		
				Mmp13		
				Csf2		
				Nfatc1		
				Nme1		
				Gm11843		
				Cacnb3		
				Zdhhc16		
				Slc39a14		
				Myh9		
				Epb41l3		
				Fam101b		
				Dusp10		
				Bzw2		
				Slc2a1		
				Cpt1a		
				Noct		
				Prep		
				Pla2g15		
				Arl4c		
				Slc9a3r1		
				Aoc3		
				Ass1		
				Bdkrb1		
				Sox4		
				Sulf1		
				Ttyh3		
				Zbp1		
				Gm21887		
				Tmem120a		
				Ptgis		
				Bloc1s2		
				Map4k4		
				Grsf1		
				H2afy2		
				Gm4737		
				Lag3		
				Igf2r		
				Hmgb2		
				Ext1		
				Znhit1		
				Casp6		
				Adamts14		
				Slc6a8		
				Pmf1		
				Pdlim1		
				Inppl1		
				Mphosph6		
				Rdh10		
				Pabpc4		
				Nsg1		
				Lif		
				Pvr		
				Pkdcc		
				Dcps		
				Aldh9a1		
				Nos2		
				Yeats4		
				Slc25a44		
				Arxes2		
				Rrm1		
				Casp3		
				Ecscr		
				Chsy1		
				Ltbp2		
				Haus4		
				Thyn1		
				Csf3		
				Rn7sk		
				Cd14		
				Chst11		
				Gpr176		
				Rnf149		
				Car4		
				Hacd1		
				Lsm5		
				Snhg6		
				Tmem132a		
				Gm4366		
				Eef1e1		
				Nans		
				Mrpl17		
				Abhd2		
				Efnb2		
				Lrrc42		
				Smco4		
				BC028528		
				Pdk3		
				Rai14		
				Acot7		
				Spats2l		
				Lgi2		
				Elk3		
				Pkig		
				Rab13		
				Tubg1		
				Cisd3		
				Ep400		
				Tbc1d7		
				Pgm1		
				Stfa3		
				Gm12895		
				Parp8		
				G6pc3		
				Haus7		
				Casp8		
				Cdk1		
				Fah		
				Steap1		
				Vash2		
				Runx1		
				Gm26714		
				A4galt		
				Pla2g16		
				Parp9		
				Cenpa		
				Bcl2l11		
				Ada		
				Tcf19		
				Rrm2		
				Gm15726		
				Fblim1		
