M1 signature	M2a signature	M2c signature	Phagocytic	Oxidative stress	Inflammatory	Remodeling
			Atp6v1a	Mmp2	Ifngr1	Rarres2
			Pepd	Prpf40a	Chil3	Lum
			Naglu	Prdx6	Glrx	C3
			Snx5	Cenpw	Stk38	Fam46c
			Rgs18	Rfc1	Metrnl	Helz
			Cd37	Tubgcp2	Cyba	Ogn
			Dennd5a	Ppm1k	H3f3b	Igfbp7
			Ehd4	Gphn	Ldlrad3	Anxa3
			Tmem86a	Htra3	Ly6e	Itih5
			Trem2	Tapbpl	Rnh1	Zc3hav1
			Gas7	Man2b1	Pkm	Dpep1
			Lipa	Ccs	Glipr1	Htra3
			Gpx4	Bin2	Aprt	
			Cysltr1	Ptgs2	Smpdl3a	
			Lgals1	Fry	Fgr	
			Atp6ap1	Rnf215	I830077J02Rik	
			Rin2	Galt	Rab8a	
			Dpm3	Ikbkap	S100a11	
			Dgkz	Guca1a	Ms4a6c	
			Hpgds	Coq2	Lmo4	
			Bin1	Cd9	Slc16a3	
			Nucb1	Zfp655	Rilpl2	
			Mat2a	Ecm1	Cytip	
			Tspan4	Ranbp9	Lst1	
			As3mt	Mfsd6	Prpf38b	
			Ubc	Sgk1	Ncf4	
			Pink1	Osm	Mcemp1	
			Nfic	P2ry14	Txn1	
			Tm9sf2	Mgat4a	Egln2	
			Mef2c	St6gal1	Tgm2	
			Sertad1	Tmod3	B2m	
			Tm2d3	Gda	Fabp5	
			Unc93b1	Pyroxd1	Pmm2	
			Vat1	Tmed1	Hmgb2	
			Setd3	Ms4a8a	Thap11	
			Ctla2b	Tfec	Plgrkt	
			Il6ra	Eef2	Psmb8	
			Jmjd1c	F3	Srgn	
			Atp6v0b	Smarcc2	Fcgr3	
			Nt5c2	Tagln2	Gpr137b-ps	
			Snx3	Psmc4	Med4	
			Pdcd5	Gtf2b	Isg20	
			Smap1	Cd14	Cdk2ap2	
			Trappc5	Flnb	Ms4a4c	
			Tom1	Phrf1	Card19	
			Rtn4	Fgfr1op	Pglyrp1	
			Flcn	Chd7	Pfn1	
			Ubn1	Hmgn1	Aldh16a1	
			Bmp2k	Slfn1	Dr1	
			Hmgn1	Cxcl2	Fndc3a	
			Get4	Anxa3	Dctn3	
			Wsb1	Narfl	Stard3	
			Mrfap1	Tyrobp	Csnk1e	
			Slc43a2	Metap1d	Tnfaip2	
			Agfg1	Pik3cb	Adssl1	
			Akirin1	Fbxo9	Cd14	
			Ppil4	Rnf6	Zfp622	
			Ppp5c	Smagp	Sra1	
			Rgs10	Abcg1	Tmem51	
			Acat1	Rusc1	Il17ra	
			Ctsa	Ripk2	Pnrc2	
			Ankrd13a	Gpr35	Rap1a	
			Mcfd2	Prdx5	Gsto1	
			Stom	Herc1	Mafb	
			Brd2	Ssr4	March7	
			Cat	Gem	Abi3	
			Helz	Nfyb	Bak1	
			Atraid	Plxdc2	Stk17b	
			Bri3	Acad8		
			Txnip	Cdc42ep4		
			Mpp1	Csgalnact2		
			Abcf1	Urod		
			Tgfbi	Id3		
			Idh1	Ceacam1		
			Fli1	Gm12840		
			Sh3bp5	Gpx4		
			Slc29a1	Sntb2		
			Snx4	Rhoc		
			Nenf	Irf2		
			Nmd3	Akap7		
			Smim11	AI467606		
			Arhgap17	Macrod1		
			Rragc	Prr13		
			Egln2	Calml4		
			Ap3m1	Map1lc3a		
			Ddx3x	Atraid		
			Arrdc1	Epb41l4aos		
			Foxp1	Ltc4s		
			Nisch	Gsr		
			Anxa5	Bzw2		
			Frmd4b	1500011K16Rik		
			Trim47	Ndufa11		
			Ddx5	Acly		
			Leprot	Gapdh		
			Ssh2	Timp2		
			Hspa9	Txn1		
			Gns	I830077J02Rik		
			Gnpat	Slc39a9		
			Asah1	Tmem30a		
			Dpp7	Dpep2		
			Ncaph2	Nupr1		
			Cenpb	St3gal5		
			Clec4a1	AB124611		
			Spag7	Pbx1		
			Nagpa	Sdc3		
			Inpp5d	Ednrb		
			Jund	Adgre1		
			Tcf4	H2-K1		
			P2ry6	Cd24a		
			Sgpl1	Pf4		
			Cebpg	Fgfr1		
			Clk3	Ctsd		
			Luc7l2	B2m		
			Pkig	Fcor		
			Atf4	Ngly1		
			Slc16a6	Fam46a		
			Rab3il1	Nfkbia		
			Klf2	Itgb1		
			Pld3	Slc30a9		
			Tgoln1	Rbpms		
			App	Smpdl3a		
			Gpr107	Tnfaip2		
			Sypl	Stxbp5		
			Gabarapl1	Mettl6		
			Ost4	Laptm4a		
			Scp2	Cfp		
			Ivns1abp	Uap1		
			Abhd12	Agfg2		
			Hacd4	Gm10138		
			Ifi27	Plaur		
			Txndc5	Khk		
			Idh2	Grn		
			Dstn	Exosc10		
			Eps8	Nudt8		
			U2af2	Fabp5		
			Ring1	Plek		
			Stau1	Copz2		
			Hsbp1			
			Top1			
			Fbxw4			
			Gatm			
			Tmem106a			
			Atp6ap2			
			Nsmce1			
			Rfk			
			Nsun2			
			Dusp22			
			Plbd2			
			Scarb2			
			Naa50			
			Anp32a			
			Tsc22d3			
			Otulin			
			Ndufc1			
			Nop56			
			Sptlc2			
			Slc11a1			
			Hnrnph1			
			Mafg			
			Dnajc1			
			Mef2a			
			Dnlz			
			Galnt1			
			Rabac1			
			Sh3bgrl			
			Ubl4a			
			Nr3c1			
			Elk3			
			Tm9sf3			
			Ndufa2			
			Rab11a			
